Date,Open,High,Low,Close,Volume,Adj Close,Adj Close SMA(10)
2015-09-21,31.200001,31.74,30.879999,31.17,18413400,31.17,31.06
2015-09-18,30.51,30.799999,30.41,30.74,20144700,30.74,31.10
2015-09-17,31.309999,31.33,30.809999,30.93,16546900,30.93,31.28
2015-09-16,31.139999,31.77,30.99,31.40,22171700,31.40,31.37
2015-09-15,29.719999,31.23,29.41,31.040001,25637600,31.040001,31.39
2015-09-14,30.68,30.92,30.00,30.32,21951500,30.32,31.51
2015-09-11,31.09,31.43,30.629999,31.43,14312100,31.43,31.79
2015-09-10,31.35,31.59,31.030001,31.15,14287600,31.15,32.01
2015-09-09,30.40,31.799999,30.35,31.52,46957000,31.52,32.15
2015-09-08,32.200001,32.830002,30.860001,30.90,25238500,30.90,32.17
2015-09-04,32.00,32.290001,31.440001,31.58,13829900,31.58,32.21
2015-09-03,31.860001,32.740002,31.799999,32.540001,13710700,32.540001,32.35
2015-09-02,32.009998,32.029999,31.379999,31.77,15551500,31.77,32.50
2015-09-01,31.49,32.099998,31.23,31.60,19828300,31.60,32.85
2015-08-31,32.91,32.990002,32.23,32.240002,13575100,32.240002,33.25
2015-08-28,33.32,33.57,32.93,33.139999,9359500,33.139999,33.64
2015-08-27,33.360001,33.77,32.950001,33.689999,18949200,33.689999,33.95
2015-08-26,32.459999,32.619999,31.110001,32.52,25375600,32.52,34.17
2015-08-25,32.98,33.029999,31.540001,31.74,15626100,31.74,34.37
2015-08-24,29.02,32.279999,29.00,31.309999,22876900,31.309999,34.80
2015-08-21,33.580002,34.02,32.91,32.93,18271700,32.93,35.38
2015-08-20,34.77,34.950001,33.869999,34.099998,15525800,34.099998,35.76
2015-08-19,35.669998,35.669998,35.029999,35.189999,8974100,35.189999,35.99
2015-08-18,35.779999,36.189999,35.599998,35.689999,11422700,35.689999,36.20
2015-08-17,36.240002,36.240002,35.77,36.099998,7923100,36.099998,36.34
2015-08-14,35.82,36.349998,35.720001,36.240002,12238300,36.240002,36.40
2015-08-13,35.080002,36.610001,34.82,35.93,28981100,35.93,36.45
